Observation id	Observation date	Description	Media file	Total length	FPS	Subject	Behavior	Behavioral category	Modifiers	Behavior type	Start (s)	Stop (s)	Duration (s)	Comment start	Comment stop
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	D8A	END			POINT	458.000	458.000	NA		
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	E77	END			POINT	458.000	458.000	NA		
Sask Beach Camera 2 July 26 M2U00645	2021-07-12 18:08:48		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00645.MPG	5312.170	29.97	90F	Still			POINT	521.000	521.000	NA		
Sask Beach Camera 2 July 26 M2U00645	2021-07-12 18:08:48		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00645.MPG	5312.170	29.97	B9A	Still			POINT	521.000	521.000	NA		
Sask Beach Camera 2 July 26 M2U00645	2021-07-12 18:08:48		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00645.MPG	5312.170	29.97	C4B	Still			POINT	521.000	521.000	NA		
Sask Beach Camera 2 July 26 M2U00645	2021-07-12 18:08:48		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00645.MPG	5312.170	29.97	516	Still			POINT	521.000	521.000	NA		
Sask Beach Camera 2 July 26 M2U00645	2021-07-12 18:08:48		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00645.MPG	5312.170	29.97	3E4	Still			POINT	521.000	521.000	NA		
Sask Beach Camera 2 July 26 M2U00645	2021-07-12 18:08:48		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00645.MPG	5312.170	29.97	7F0	Still			POINT	521.000	521.000	NA		
Sask Beach Camera 2 July 26 M2U00645	2021-07-12 18:08:48		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00645.MPG	5312.170	29.97	D8A	Still			POINT	521.000	521.000	NA		
Sask Beach Camera 2 July 26 M2U00645	2021-07-12 18:08:48		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00645.MPG	5312.170	29.97	E77	Still			POINT	521.000	521.000	NA		
Sask Beach Camera 2 July 26 M2U00645	2021-07-12 18:08:48		F:/Bat Videos/Sask Beach/Camera 2 July 26 22.20/M2U00645.MPG	5312.170	29.97	B9A	Wing stretch			POINT	523.525	523.525	NA		
