Observation id	Observation date	Description	Media file	Total length	FPS	Subject	Behavior	Behavioral category	Modifiers	Behavior type	Start (s)	Stop (s)	Duration (s)	Comment start	Comment stop
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	516	Still			POINT	328.000	328.000	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	7F0	Still			POINT	328.000	328.000	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	D8A	Still			POINT	328.000	328.000	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	E77	Still			POINT	328.000	328.000	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	3E4	Self-grooming			POINT	328.931	328.931	NA		
Sask Beach Camera 2 July 30 M2U00726	2021-07-15 18:09:40		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00726.MPG	5726.090	29.97	516	Wing stretch			POINT	330.233	330.233	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	90F	Self-grooming			POINT	332.333	332.333	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	B9A	Self-grooming			POINT	332.333	332.333	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	3E4	Self-grooming			POINT	333.635	333.635	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	E77	Self-grooming			POINT	333.635	333.635	NA		
Sask Beach Camera 2 July 30 M2U00726	2021-07-15 18:09:40		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00726.MPG	5726.090	29.97	516	Self-grooming			POINT	337.440	337.440	NA		
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	90F	Still			POINT	338.000	338.000	NA		
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	B9A	Still			POINT	338.000	338.000	NA		
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	C4B	Still			POINT	338.000	338.000	NA		
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	516	Still			POINT	338.000	338.000	NA		
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	3E4	Still			POINT	338.000	338.000	NA		
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	7F0	Still			POINT	338.000	338.000	NA		
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	D8A	Still			POINT	338.000	338.000	NA		
Sask Beach Camera 2 July 29 M2U00665	2021-07-15 15:22:02		F:/Bat Videos/Sask Beach/Camera 2 July 29 3.30/M2U00665.MPG	5727.150	29.97	E77	Still			POINT	338.000	338.000	NA		
Sask Beach Camera 2 July 28 M2U00653	2021-07-12 22:22:34		F:/Bat Videos/Sask Beach/Camera 2 July 28 00.00/M2U00653.MPG	5380.380	29.97	E77	Leave cluster			POINT	340.744	340.744	NA		
Sask Beach Camera 1 July 25 M2U00511	2021-07-01 18:41:57		F:/Bat Videos/Sask Beach/Camera 1 July 25 22.50/M2U00511.MPG	5731.230	29.97	B9A	Still			POINT	342.944	342.944	NA		
Sask Beach Camera 2 July 30 M2U00726	2021-07-15 18:09:40		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00726.MPG	5726.090	29.97	90F	END			POINT	348.000	348.000	NA		
Sask Beach Camera 2 July 30 M2U00726	2021-07-15 18:09:40		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00726.MPG	5726.090	29.97	B9A	END			POINT	348.000	348.000	NA		
Sask Beach Camera 2 July 30 M2U00726	2021-07-15 18:09:40		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00726.MPG	5726.090	29.97	C4B	END			POINT	348.000	348.000	NA		
Sask Beach Camera 2 July 30 M2U00726	2021-07-15 18:09:40		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00726.MPG	5726.090	29.97	516	END			POINT	348.000	348.000	NA		
Sask Beach Camera 2 July 30 M2U00726	2021-07-15 18:09:40		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00726.MPG	5726.090	29.97	3E4	END			POINT	348.000	348.000	NA		
Sask Beach Camera 2 July 30 M2U00726	2021-07-15 18:09:40		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00726.MPG	5726.090	29.97	7F0	END			POINT	348.000	348.000	NA		
Sask Beach Camera 2 July 30 M2U00726	2021-07-15 18:09:40		F:/Bat Videos/Sask Beach/Camera 2 July 30 3.00/M2U00726.MPG	5726.090	29.97	D8A	END			POINT	348.000	348.000	NA		
