Events (chronological order),Interval,Observation id,Observation date,Subject,Behavior,Start (s),Stop (s),,,,,
341,N,July 28 M2U00654,7/15/2021 14:09,B9A',END,253,253,,,,,
342,N,July 28 M2U00654,7/15/2021 14:09,C4B',END,253,253,,,,,
343,N,July 28 M2U00654,7/15/2021 14:09,516',END,253,253,,,,,
344,N,July 28 M2U00654,7/15/2021 14:09,3E4',END,253,253,,,,,
345,N,July 28 M2U00654,7/15/2021 14:09,7F0',END,253,253,,,,,
346,N,July 28 M2U00654,7/15/2021 14:09,D8A',END,253,253,,,,,
347,N,July 28 M2U00654,7/15/2021 14:09,E77',END,253,253,,,,,
348,O,July 28 M2U00654,7/15/2021 14:09,90F',Still,2053,2053,,,,,
349,O,July 28 M2U00654,7/15/2021 14:09,B9A',Still,2053,2053,,,,,
350,O,July 28 M2U00654,7/15/2021 14:09,C4B',Still,2053,2053,,,,,
351,O,July 28 M2U00654,7/15/2021 14:09,516',Still,2053,2053,,,,,
352,O,July 28 M2U00654,7/15/2021 14:09,3E4',Still,2053,2053,,,,,
353,O,July 28 M2U00654,7/15/2021 14:09,7F0',Still,2053,2053,,,,,
354,O,July 28 M2U00654,7/15/2021 14:09,D8A',Still,2053,2053,,,,,
355,O,July 28 M2U00654,7/15/2021 14:09,E77',Still,2053,2053,,,,,
356,O,July 28 M2U00654,7/15/2021 14:09,90F',END,2173,2173,,,,,
357,O,July 28 M2U00654,7/15/2021 14:09,B9A',END,2173,2173,,,,,
358,O,July 28 M2U00654,7/15/2021 14:09,C4B',END,2173,2173,,,,,
359,O,July 28 M2U00654,7/15/2021 14:09,516',END,2173,2173,,,,,
360,O,July 28 M2U00654,7/15/2021 14:09,3E4',END,2173,2173,,,,,
361,O,July 28 M2U00654,7/15/2021 14:09,7F0',END,2173,2173,,,,,
362,O,July 28 M2U00654,7/15/2021 14:09,D8A',END,2173,2173,,,,,
363,O,July 28 M2U00654,7/15/2021 14:09,E77',END,2173,2173,,,,,
364,P,July 29 M2U00664,7/15/2021 14:18,90F',Still,271,271,,,,,
365,P,July 29 M2U00664,7/15/2021 14:18,B9A',Still,271,271,,,,,
366,P,July 29 M2U00664,7/15/2021 14:18,C4B',Still,271,271,,,,,
367,P,July 29 M2U00664,7/15/2021 14:18,516',Still,271,271,,,,,
368,P,July 29 M2U00664,7/15/2021 14:18,3E4',Still,271,271,,,,,
369,P,July 29 M2U00664,7/15/2021 14:18,7F0',Still,271,271,,,,,
370,P,July 29 M2U00664,7/15/2021 14:18,D8A',Still,271,271,,,,,
371,P,July 29 M2U00664,7/15/2021 14:18,E77',Still,271,271,,,,,
372,P,July 29 M2U00664,7/15/2021 14:18,E77',Active - Walking,309.812,309.812,,,,,
373,P,July 29 M2U00664,7/15/2021 14:18,E77',Self-grooming,321.423,321.423,,,,,
374,P,July 29 M2U00664,7/15/2021 14:18,90F',END,391,391,,,,,
375,P,July 29 M2U00664,7/15/2021 14:18,B9A',END,391,391,,,,,
376,P,July 29 M2U00664,7/15/2021 14:18,C4B',END,391,391,,,,,
377,P,July 29 M2U00664,7/15/2021 14:18,516',END,391,391,,,,,
378,P,July 29 M2U00664,7/15/2021 14:18,3E4',END,391,391,,,,,
379,P,July 29 M2U00664,7/15/2021 14:18,7F0',END,391,391,,,,,
380,P,July 29 M2U00664,7/15/2021 14:18,D8A',END,391,391,,,,,
381,P,July 29 M2U00664,7/15/2021 14:18,E77',END,391,391,,,,,
382,Q,July 29 M2U00664,7/15/2021 14:18,90F',Still,2191,2191,,,,,
383,Q,July 29 M2U00664,7/15/2021 14:18,B9A',Still,2191,2191,,,,,
384,Q,July 29 M2U00664,7/15/2021 14:18,C4B',Still,2191,2191,,,,,
385,Q,July 29 M2U00664,7/15/2021 14:18,516',Still,2191,2191,,,,,
386,Q,July 29 M2U00664,7/15/2021 14:18,3E4',Still,2191,2191,,,,,
387,Q,July 29 M2U00664,7/15/2021 14:18,7F0',Still,2191,2191,,,,,
388,Q,July 29 M2U00664,7/15/2021 14:18,D8A',Still,2191,2191,,,,,
389,Q,July 29 M2U00664,7/15/2021 14:18,E77',Still,2191,2191,,,,,
390,Q,July 29 M2U00664,7/15/2021 14:18,7F0',Self-grooming,2200.6,2200.6,,,,,
391,Q,July 29 M2U00664,7/15/2021 14:18,E77',Self-grooming,2268.168,2268.168,,,,,
392,Q,July 29 M2U00664,7/15/2021 14:18,516',Self-grooming,2269,2269,,,,,
393,Q,July 29 M2U00664,7/15/2021 14:18,7F0',Wing stretch,2289.189,2289.189,,,,,
394,Q,July 29 M2U00664,7/15/2021 14:18,E77',Join cluster 1,2305.906,2305.906,,,,,
395,Q,July 29 M2U00664,7/15/2021 14:18,90F',END,2311,2311,,,,,
396,Q,July 29 M2U00664,7/15/2021 14:18,B9A',END,2311,2311,,,,,
397,Q,July 29 M2U00664,7/15/2021 14:18,C4B',END,2311,2311,,,,,
398,Q,July 29 M2U00664,7/15/2021 14:18,516',END,2311,2311,,,,,
399,Q,July 29 M2U00664,7/15/2021 14:18,3E4',END,2311,2311,,,,,
400,Q,July 29 M2U00664,7/15/2021 14:18,7F0',END,2311,2311,,,,,
401,Q,July 29 M2U00664,7/15/2021 14:18,D8A',END,2311,2311,,,,,
402,Q,July 29 M2U00664,7/15/2021 14:18,E77',END,2311,2311,,,,,
403,R,July 29 M2U00664,7/15/2021 14:18,90F',Still,4111,4111,,,,,
404,R,July 29 M2U00664,7/15/2021 14:18,B9A',Still,4111,4111,,,,,
405,R,July 29 M2U00664,7/15/2021 14:18,C4B',Still,4111,4111,,,,,
406,R,July 29 M2U00664,7/15/2021 14:18,516',Still,4111,4111,,,,,
407,R,July 29 M2U00664,7/15/2021 14:18,3E4',Still,4111,4111,,,,,
408,R,July 29 M2U00664,7/15/2021 14:18,7F0',Still,4111,4111,,,,,
409,R,July 29 M2U00664,7/15/2021 14:18,D8A',Still,4111,4111,,,,,
410,R,July 29 M2U00664,7/15/2021 14:18,E77',Wing stretch,4112.01,4112.01,,,,,
411,R,July 29 M2U00664,7/15/2021 14:18,E77',Self-grooming,4120.017,4120.017,,,,,
412,R,July 29 M2U00664,7/15/2021 14:18,E77',Head lift,4159.261,4159.261,,,,,
413,R,July 29 M2U00664,7/15/2021 14:18,90F',END,4231,4231,,,,,
414,R,July 29 M2U00664,7/15/2021 14:18,B9A',END,4231,4231,,,,,
415,R,July 29 M2U00664,7/15/2021 14:18,C4B',END,4231,4231,,,,,
416,R,July 29 M2U00664,7/15/2021 14:18,516',END,4231,4231,,,,,
417,R,July 29 M2U00664,7/15/2021 14:18,3E4',END,4231,4231,,,,,
418,R,July 29 M2U00664,7/15/2021 14:18,7F0',END,4231,4231,,,,,
419,R,July 29 M2U00664,7/15/2021 14:18,D8A',END,4231,4231,,,,,
420,R,July 29 M2U00664,7/15/2021 14:18,E77',END,4231,4231,,,,,
421,S,July 29 M2U00665,7/15/2021 15:22,90F',Still,338,338,,,,,
422,S,July 29 M2U00665,7/15/2021 15:22,B9A',Still,338,338,,,,,
423,S,July 29 M2U00665,7/15/2021 15:22,C4B',Still,338,338,,,,,
424,S,July 29 M2U00665,7/15/2021 15:22,516',Still,338,338,,,,,
425,S,July 29 M2U00665,7/15/2021 15:22,3E4',Still,338,338,,,,,
426,S,July 29 M2U00665,7/15/2021 15:22,7F0',Still,338,338,,,,,
427,S,July 29 M2U00665,7/15/2021 15:22,D8A',Still,338,338,,,,,
428,S,July 29 M2U00665,7/15/2021 15:22,E77',Still,338,338,,,,,
429,S,July 29 M2U00665,7/15/2021 15:22,90F',END,458,458,,,,,
430,S,July 29 M2U00665,7/15/2021 15:22,B9A',END,458,458,,,,,
431,S,July 29 M2U00665,7/15/2021 15:22,C4B',END,458,458,,,,,
432,S,July 29 M2U00665,7/15/2021 15:22,516',END,458,458,,,,,
433,S,July 29 M2U00665,7/15/2021 15:22,3E4',END,458,458,,,,,
434,S,July 29 M2U00665,7/15/2021 15:22,7F0',END,458,458,,,,,
435,S,July 29 M2U00665,7/15/2021 15:22,D8A',END,458,458,,,,,
436,S,July 29 M2U00665,7/15/2021 15:22,E77',END,458,458,,,,,
437,T,July 29 M2U00665,7/15/2021 15:22,90F',Still,2258,2258,,,,,
438,T,July 29 M2U00665,7/15/2021 15:22,B9A',Still,2258,2258,,,,,
439,T,July 29 M2U00665,7/15/2021 15:22,C4B',Still,2258,2258,,,,,
440,T,July 29 M2U00665,7/15/2021 15:22,516',Still,2258,2258,,,,,
441,T,July 29 M2U00665,7/15/2021 15:22,3E4',Still,2258,2258,,,,,
442,T,July 29 M2U00665,7/15/2021 15:22,7F0',Still,2258,2258,,,,,
443,T,July 29 M2U00665,7/15/2021 15:22,D8A',Still,2258,2258,,,,,
444,T,July 29 M2U00665,7/15/2021 15:22,E77',Still,2258,2258,,,,,
445,T,July 29 M2U00665,7/15/2021 15:22,90F',END,2378,2378,,,,,
446,T,July 29 M2U00665,7/15/2021 15:22,B9A',END,2378,2378,,,,,
447,T,July 29 M2U00665,7/15/2021 15:22,C4B',END,2378,2378,,,,,
448,T,July 29 M2U00665,7/15/2021 15:22,516',END,2378,2378,,,,,
449,T,July 29 M2U00665,7/15/2021 15:22,3E4',END,2378,2378,,,,,
450,T,July 29 M2U00665,7/15/2021 15:22,7F0',END,2378,2378,,,,,
451,T,July 29 M2U00665,7/15/2021 15:22,D8A',END,2378,2378,,,,,
452,T,July 29 M2U00665,7/15/2021 15:22,E77',END,2378,2378,,,,,
453,U,July 30 M2U00725,7/15/2021 15:32,90F',Still,283,283,,,,,
454,U,July 30 M2U00725,7/15/2021 15:32,B9A',Still,283,283,,,,,
455,U,July 30 M2U00725,7/15/2021 15:32,C4B',Still,283,283,,,,,
456,U,July 30 M2U00725,7/15/2021 15:32,516',Still,283,283,,,,,
457,U,July 30 M2U00725,7/15/2021 15:32,3E4',Still,283,283,,,,,
458,U,July 30 M2U00725,7/15/2021 15:32,7F0',Still,283,283,,,,,
459,U,July 30 M2U00725,7/15/2021 15:32,D8A',Still,283,283,,,,,
460,U,July 30 M2U00725,7/15/2021 15:32,E77',Still,283,283,,,,,
461,U,July 30 M2U00725,7/15/2021 15:32,90F',END,403,403,,,,,
462,U,July 30 M2U00725,7/15/2021 15:32,B9A',END,403,403,,,,,
463,U,July 30 M2U00725,7/15/2021 15:32,C4B',END,403,403,,,,,
464,U,July 30 M2U00725,7/15/2021 15:32,516',END,403,403,,,,,
465,U,July 30 M2U00725,7/15/2021 15:32,3E4',END,403,403,,,,,
466,U,July 30 M2U00725,7/15/2021 15:32,7F0',END,403,403,,,,,
467,U,July 30 M2U00725,7/15/2021 15:32,D8A',END,403,403,,,,,
468,U,July 30 M2U00725,7/15/2021 15:32,E77',END,403,403,,,,,
469,V,July 30 M2U00725,7/15/2021 15:32,90F',Still,2203,2203,,,,,
470,V,July 30 M2U00725,7/15/2021 15:32,B9A',Still,2203,2203,,,,,
471,V,July 30 M2U00725,7/15/2021 15:32,C4B',Still,2203,2203,,,,,
472,V,July 30 M2U00725,7/15/2021 15:32,516',Still,2203,2203,,,,,
473,V,July 30 M2U00725,7/15/2021 15:32,3E4',Still,2203,2203,,,,,
474,V,July 30 M2U00725,7/15/2021 15:32,7F0',Still,2203,2203,,,,,
475,V,July 30 M2U00725,7/15/2021 15:32,D8A',Still,2203,2203,,,,,
476,V,July 30 M2U00725,7/15/2021 15:32,E77',Still,2203,2203,,,,,
477,V,July 30 M2U00725,7/15/2021 15:32,7F0',Self-grooming,2203.104,2203.104,,,,,
478,V,July 30 M2U00725,7/15/2021 15:32,3E4',Head lift,2209.108,2209.108,,,,,
479,V,July 30 M2U00725,7/15/2021 15:32,7F0',Wing stretch,2242.342,2242.342,,,,,
480,V,July 30 M2U00725,7/15/2021 15:32,3E4',Self-grooming,2250.15,2250.15,,,,,
481,V,July 30 M2U00725,7/15/2021 15:32,D8A',Self-grooming,2277.178,2277.178,,,,,
482,V,July 30 M2U00725,7/15/2021 15:32,7F0',Wing stretch,2292.892,2292.892,,,,,
483,V,July 30 M2U00725,7/15/2021 15:32,3E4',Head lift,2306.006,2306.006,,,,,
484,V,July 30 M2U00725,7/15/2021 15:32,90F',END,2323,2323,,,,,
485,V,July 30 M2U00725,7/15/2021 15:32,B9A',END,2323,2323,,,,,
486,V,July 30 M2U00725,7/15/2021 15:32,C4B',END,2323,2323,,,,,
487,V,July 30 M2U00725,7/15/2021 15:32,516',END,2323,2323,,,,,
488,V,July 30 M2U00725,7/15/2021 15:32,3E4',END,2323,2323,,,,,
489,V,July 30 M2U00725,7/15/2021 15:32,7F0',END,2323,2323,,,,,
490,V,July 30 M2U00725,7/15/2021 15:32,D8A',END,2323,2323,,,,,
491,V,July 30 M2U00725,7/15/2021 15:32,E77',END,2323,2323,,,,,
492,W,July 30 M2U00725,7/15/2021 15:32,90F',Still,4123,4123,,,,,
493,W,July 30 M2U00725,7/15/2021 15:32,B9A',Still,4123,4123,,,,,
494,W,July 30 M2U00725,7/15/2021 15:32,C4B',Still,4123,4123,,,,,
495,W,July 30 M2U00725,7/15/2021 15:32,516',Still,4123,4123,,,,,
496,W,July 30 M2U00725,7/15/2021 15:32,3E4',Still,4123,4123,,,,,
497,W,July 30 M2U00725,7/15/2021 15:32,7F0',Still,4123,4123,,,,,
498,W,July 30 M2U00725,7/15/2021 15:32,D8A',Still,4123,4123,,,,,
499,W,July 30 M2U00725,7/15/2021 15:32,E77',Still,4123,4123,,,,,
500,W,July 30 M2U00725,7/15/2021 15:32,3E4',Self-grooming,4125.123,4125.123,,,,,
501,W,July 30 M2U00725,7/15/2021 15:32,E77',Active - Walking,4128.727,4128.727,,,,,
502,W,July 30 M2U00725,7/15/2021 15:32,E77',Join cluster 1,4131.229,4131.229,,,,,
503,W,July 30 M2U00725,7/15/2021 15:32,7F0',Allow ACU,4136.734,4136.734,,,,,
504,W,July 30 M2U00725,7/15/2021 15:32,E77',ACU - Head first,4136.734,4136.734,,,,,
505,W,July 30 M2U00725,7/15/2021 15:32,E77',Self-grooming,4183.281,4183.281,,,,,
506,W,July 30 M2U00725,7/15/2021 15:32,C4B',Active - Walking,4195.094,4195.094,,,,,
507,W,July 30 M2U00725,7/15/2021 15:32,C4B',Join cluster 1,4201.599,4201.599,,,,,
508,W,July 30 M2U00725,7/15/2021 15:32,C4B',ACU - Head first,4203.903,4203.903,,,,,
509,W,July 30 M2U00725,7/15/2021 15:32,E77',Allow ACU,4203.903,4203.903,,,,,
510,W,July 30 M2U00725,7/15/2021 15:32,7F0',Leave cluster,4212.21,4212.21,,,,,
511,W,July 30 M2U00725,7/15/2021 15:32,516',Wing stretch,4227.925,4227.925,,,,,
512,W,July 30 M2U00725,7/15/2021 15:32,7F0',Active - Walking,4230.728,4230.728,,,,,
513,W,July 30 M2U00725,7/15/2021 15:32,516',Self-grooming,4238.237,4238.237,,,,,
514,W,July 30 M2U00725,7/15/2021 15:32,90F',END,4243,4243,,,,,
515,W,July 30 M2U00725,7/15/2021 15:32,B9A',END,4243,4243,,,,,
516,W,July 30 M2U00725,7/15/2021 15:32,C4B',END,4243,4243,,,,,
517,W,July 30 M2U00725,7/15/2021 15:32,516',END,4243,4243,,,,,
518,W,July 30 M2U00725,7/15/2021 15:32,3E4',END,4243,4243,,,,,
519,W,July 30 M2U00725,7/15/2021 15:32,7F0',END,4243,4243,,,,,
520,W,July 30 M2U00725,7/15/2021 15:32,D8A',END,4243,4243,,,,,
521,W,July 30 M2U00725,7/15/2021 15:32,E77',END,4243,4243,,,,,
522,X,July 30 M2U00726,7/15/2021 18:09,90F',Still,228,228,,,,,
523,X,July 30 M2U00726,7/15/2021 18:09,B9A',Still,228,228,,,,,
524,X,July 30 M2U00726,7/15/2021 18:09,C4B',Still,228,228,,,,,
525,X,July 30 M2U00726,7/15/2021 18:09,516',Still,228,228,,,,,
526,X,July 30 M2U00726,7/15/2021 18:09,3E4',Still,228,228,,,,,
527,X,July 30 M2U00726,7/15/2021 18:09,7F0',Still,228,228,,,,,
528,X,July 30 M2U00726,7/15/2021 18:09,D8A',Still,228,228,,,,,
529,X,July 30 M2U00726,7/15/2021 18:09,E77',Still,228,228,,,,,
530,X,July 30 M2U00726,7/15/2021 18:09,516',Wing stretch,297.198,297.198,,,,,
531,X,July 30 M2U00726,7/15/2021 18:09,516',Self-grooming,314.716,314.716,,,,,
532,X,July 30 M2U00726,7/15/2021 18:09,516',Wing stretch,330.233,330.233,,,,,
533,X,July 30 M2U00726,7/15/2021 18:09,516',Self-grooming,337.44,337.44,,,,,
534,X,July 30 M2U00726,7/15/2021 18:09,90F',END,348,348,,,,,
535,X,July 30 M2U00726,7/15/2021 18:09,B9A',END,348,348,,,,,
536,X,July 30 M2U00726,7/15/2021 18:09,C4B',END,348,348,,,,,
537,X,July 30 M2U00726,7/15/2021 18:09,516',END,348,348,,,,,
538,X,July 30 M2U00726,7/15/2021 18:09,3E4',END,348,348,,,,,
539,X,July 30 M2U00726,7/15/2021 18:09,7F0',END,348,348,,,,,
540,X,July 30 M2U00726,7/15/2021 18:09,D8A',END,348,348,,,,,
541,X,July 30 M2U00726,7/15/2021 18:09,E77',END,348,348,,,,,
542,Y,July 30 M2U00726,7/15/2021 18:09,90F',Still,2148,2148,,,,,
543,Y,July 30 M2U00726,7/15/2021 18:09,B9A',Still,2148,2148,,,,,
544,Y,July 30 M2U00726,7/15/2021 18:09,C4B',Still,2148,2148,,,,,
545,Y,July 30 M2U00726,7/15/2021 18:09,516',Still,2148,2148,,,,,
546,Y,July 30 M2U00726,7/15/2021 18:09,3E4',Still,2148,2148,,,,,
547,Y,July 30 M2U00726,7/15/2021 18:09,7F0',Still,2148,2148,,,,,
548,Y,July 30 M2U00726,7/15/2021 18:09,D8A',Still,2148,2148,,,,,
549,Y,July 30 M2U00726,7/15/2021 18:09,E77',Still,2148,2148,,,,,
550,Y,July 30 M2U00726,7/15/2021 18:09,3E4',Wing stretch,2220.224,2220.224,,,,,
551,Y,July 30 M2U00726,7/15/2021 18:09,3E4',Self-grooming,2230.635,2230.635,,,,,
552,Y,July 30 M2U00726,7/15/2021 18:09,90F',END,2268,2268,,,,,
553,Y,July 30 M2U00726,7/15/2021 18:09,B9A',END,2268,2268,,,,,
554,Y,July 30 M2U00726,7/15/2021 18:09,C4B',END,2268,2268,,,,,
555,Y,July 30 M2U00726,7/15/2021 18:09,516',END,2268,2268,,,,,
556,Y,July 30 M2U00726,7/15/2021 18:09,3E4',END,2268,2268,,,,,
557,Y,July 30 M2U00726,7/15/2021 18:09,7F0',END,2268,2268,,,,,
558,Y,July 30 M2U00726,7/15/2021 18:09,D8A',END,2268,2268,,,,,
559,Y,July 30 M2U00726,7/15/2021 18:09,E77',END,2268,2268,,,,,
560,Z,July 31 M2U00734,7/15/2021 18:43,90F',Still,271,271,,,,,
561,Z,July 31 M2U00734,7/15/2021 18:43,B9A',Still,271,271,,,,,
562,Z,July 31 M2U00734,7/15/2021 18:43,C4B',Still,271,271,,,,,
563,Z,July 31 M2U00734,7/15/2021 18:43,516',Still,271,271,,,,,
564,Z,July 31 M2U00734,7/15/2021 18:43,3E4',Still,271,271,,,,,
565,Z,July 31 M2U00734,7/15/2021 18:43,7F0',Still,271,271,,,,,
566,Z,July 31 M2U00734,7/15/2021 18:43,D8A',Still,271,271,,,,,
567,Z,July 31 M2U00734,7/15/2021 18:43,E77',Head lift,272.174,272.174,,,,,
568,Z,July 31 M2U00734,7/15/2021 18:43,90F',END,391,391,,,,,
569,Z,July 31 M2U00734,7/15/2021 18:43,B9A',END,391,391,,,,,
570,Z,July 31 M2U00734,7/15/2021 18:43,C4B',END,391,391,,,,,
571,Z,July 31 M2U00734,7/15/2021 18:43,516',END,391,391,,,,,
572,Z,July 31 M2U00734,7/15/2021 18:43,3E4',END,391,391,,,,,
573,Z,July 31 M2U00734,7/15/2021 18:43,7F0',END,391,391,,,,,
574,Z,July 31 M2U00734,7/15/2021 18:43,D8A',END,391,391,,,,,
575,Z,July 31 M2U00734,7/15/2021 18:43,E77',END,391,391,,,,,
576,AA,July 31 M2U00734,7/15/2021 18:43,90F',Still,2191,2191,,,,,
577,AA,July 31 M2U00734,7/15/2021 18:43,B9A',Still,2191,2191,,,,,
578,AA,July 31 M2U00734,7/15/2021 18:43,C4B',Still,2191,2191,,,,,
579,AA,July 31 M2U00734,7/15/2021 18:43,516',Still,2191,2191,,,,,
580,AA,July 31 M2U00734,7/15/2021 18:43,3E4',Still,2191,2191,,,,,
581,AA,July 31 M2U00734,7/15/2021 18:43,7F0',Still,2191,2191,,,,,
582,AA,July 31 M2U00734,7/15/2021 18:43,D8A',Still,2191,2191,,,,,
583,AA,July 31 M2U00734,7/15/2021 18:43,E77',Still,2191,2191,,,,,
584,AA,July 31 M2U00734,7/15/2021 18:43,E77',Self-grooming,2193.194,2193.194,,,,,
585,AA,July 31 M2U00734,7/15/2021 18:43,D8A',Wing stretch,2199.6,2199.6,,,,,
586,AA,July 31 M2U00734,7/15/2021 18:43,90F',END,2311,2311,,,,,
587,AA,July 31 M2U00734,7/15/2021 18:43,B9A',END,2311,2311,,,,,
588,AA,July 31 M2U00734,7/15/2021 18:43,C4B',END,2311,2311,,,,,
589,AA,July 31 M2U00734,7/15/2021 18:43,516',END,2311,2311,,,,,
590,AA,July 31 M2U00734,7/15/2021 18:43,3E4',END,2311,2311,,,,,
591,AA,July 31 M2U00734,7/15/2021 18:43,7F0',END,2311,2311,,,,,
592,AA,July 31 M2U00734,7/15/2021 18:43,D8A',END,2311,2311,,,,,
593,AA,July 31 M2U00734,7/15/2021 18:43,E77',END,2311,2311,,,,,
594,AB,July 31 M2U00734,7/15/2021 18:43,90F',Still,4111,4111,,,,,
595,AB,July 31 M2U00734,7/15/2021 18:43,B9A',Still,4111,4111,,,,,
596,AB,July 31 M2U00734,7/15/2021 18:43,C4B',Still,4111,4111,,,,,
597,AB,July 31 M2U00734,7/15/2021 18:43,516',Still,4111,4111,,,,,
598,AB,July 31 M2U00734,7/15/2021 18:43,3E4',Still,4111,4111,,,,,
599,AB,July 31 M2U00734,7/15/2021 18:43,7F0',Still,4111,4111,,,,,
600,AB,July 31 M2U00734,7/15/2021 18:43,D8A',Still,4111,4111,,,,,
601,AB,July 31 M2U00734,7/15/2021 18:43,E77',Still,4111,4111,,,,,
602,AB,July 31 M2U00734,7/15/2021 18:43,90F',Self-grooming,4112.313,4112.313,,,,,
603,AB,July 31 M2U00734,7/15/2021 18:43,3E4',Wing stretch,4177.576,4177.576,,,,,
604,AB,July 31 M2U00734,7/15/2021 18:43,3E4',Head lift,4224.924,4224.924,,,,,
605,AB,July 31 M2U00734,7/15/2021 18:43,3E4',Wing stretch,4230.229,4230.229,,,,,
606,AB,July 31 M2U00734,7/15/2021 18:43,90F',END,4231,4231,,,,,
607,AB,July 31 M2U00734,7/15/2021 18:43,B9A',END,4231,4231,,,,,
608,AB,July 31 M2U00734,7/15/2021 18:43,C4B',END,4231,4231,,,,,
609,AB,July 31 M2U00734,7/15/2021 18:43,516',END,4231,4231,,,,,
610,AB,July 31 M2U00734,7/15/2021 18:43,3E4',END,4231,4231,,,,,
611,AB,July 31 M2U00734,7/15/2021 18:43,7F0',END,4231,4231,,,,,
612,AB,July 31 M2U00734,7/15/2021 18:43,D8A',END,4231,4231,,,,,
613,AB,July 31 M2U00734,7/15/2021 18:43,E77',END,4231,4231,,,,,
614,AC,July 31 M2U00735,7/15/2021 19:06,90F',Still,1524,1524,,,,,
615,AC,July 31 M2U00735,7/15/2021 19:06,B9A',Still,1524,1524,,,,,
616,AC,July 31 M2U00735,7/15/2021 19:06,C4B',Still,1524,1524,,,,,
617,AC,July 31 M2U00735,7/15/2021 19:06,516',Still,1524,1524,,,,,
618,AC,July 31 M2U00735,7/15/2021 19:06,3E4',Still,1524,1524,,,,,
619,AC,July 31 M2U00735,7/15/2021 19:06,7F0',Still,1524,1524,,,,,
620,AC,July 31 M2U00735,7/15/2021 19:06,D8A',Still,1524,1524,,,,,
621,AC,July 31 M2U00735,7/15/2021 19:06,E77',Still,1524,1524,,,,,
622,AC,July 31 M2U00735,7/15/2021 19:06,3E4',Wing stretch,1637.527,1637.527,,,,,
623,AC,July 31 M2U00735,7/15/2021 19:06,3E4',Self-grooming,1641.833,1641.833,,,,,
624,AC,July 31 M2U00735,7/15/2021 19:06,90F',END,1644,1644,,,,,
625,AC,July 31 M2U00735,7/15/2021 19:06,B9A',END,1644,1644,,,,,
626,AC,July 31 M2U00735,7/15/2021 19:06,C4B',END,1644,1644,,,,,
627,AC,July 31 M2U00735,7/15/2021 19:06,516',END,1644,1644,,,,,
628,AC,July 31 M2U00735,7/15/2021 19:06,3E4',END,1644,1644,,,,,
629,AC,July 31 M2U00735,7/15/2021 19:06,7F0',END,1644,1644,,,,,
630,AC,July 31 M2U00735,7/15/2021 19:06,D8A',END,1644,1644,,,,,
631,AC,July 31 M2U00735,7/15/2021 19:06,E77',END,1644,1644,,,,,
632,AD,July 31 M2U00735,7/15/2021 19:06,B9A',Still,3324,3324,,,,,
633,AD,July 31 M2U00735,7/15/2021 19:06,C4B',Still,3324,3324,,,,,
634,AD,July 31 M2U00735,7/15/2021 19:06,516',Still,3324,3324,,,,,
635,AD,July 31 M2U00735,7/15/2021 19:06,3E4',Still,3324,3324,,,,,
636,AD,July 31 M2U00735,7/15/2021 19:06,7F0',Still,3324,3324,,,,,
637,AD,July 31 M2U00735,7/15/2021 19:06,E77',Still,3324,3324,,,,,
638,AD,July 31 M2U00735,7/15/2021 19:06,90F',Crawl over,3384.473,3384.473,,,,,
639,AD,July 31 M2U00735,7/15/2021 19:06,D8A',Avoid crawl over,3384.473,3384.473,,,,,
640,AD,July 31 M2U00735,7/15/2021 19:06,90F',Wing stretch,3401.79,3401.79,,,,,
641,AD,July 31 M2U00735,7/15/2021 19:06,90F',END,3444,3444,,,,,
642,AD,July 31 M2U00735,7/15/2021 19:06,B9A',END,3444,3444,,,,,
643,AD,July 31 M2U00735,7/15/2021 19:06,C4B',END,3444,3444,,,,,
644,AD,July 31 M2U00735,7/15/2021 19:06,516',END,3444,3444,,,,,
645,AD,July 31 M2U00735,7/15/2021 19:06,3E4',END,3444,3444,,,,,
646,AD,July 31 M2U00735,7/15/2021 19:06,7F0',END,3444,3444,,,,,
647,AD,July 31 M2U00735,7/15/2021 19:06,D8A',END,3444,3444,,,,,
648,AD,July 31 M2U00735,7/15/2021 19:06,E77',END,3444,3444,,,,,
